Title,Year,Language,Day1_collection_cr,Production Company,Release Date,Genre,Director,Runtime (min)
Golmaal Again,2017,Hindi,30.14,"Rohit Shetty Productions, Reliance Entertainment, Mangal Murti Films PVT. LTD.",20-10-2017,"Horror, Comedy",Rohit Shetty,151
Begum Jaan,2017,Hindi,0.02,"Vishesh Films, PLAY Entertainment",14-04-2017,Drama,Srijit Mukherjee,134
Super 30,2019,Hindi,11.83,"Nadiadwala Grandson Entertainment, Reliance Entertainment, Phantom Films, HRX Films",12-07-2019,"Biographical, Drama, Social",Vikas Bahl,154
Sukhee,2023,Hindi,0.25,"T-Series Super Cassettes Industries Ltd., Abundantia Entertainment, Gulshan Kumar Presents",22-09-2023,"Family, Drama",Sonal Joshi,138
Junooniyat,2016,Hindi,0.4,T-Series Super Cassettes Industries Ltd.,24-06-2016,Romance,Vivek Agnihotri,129
Love Ke Funday,2016,Hindi,0.01,"FRV Big Business Entertainment Pvt. Ltd, Prem Motion Pictures",29-07-2016,"Comedy, Romance",Indervesh Yogee,131
Cash,2021,Hindi,3.73,"Adlabs Films Ltd, Sohail Maklai Entertainment Pvt Ltd, Seven Entertainment Ltd., ASP White",19-11-2021,"Action, Thriller",Anubhav Sinha,119
Raid,2018,Hindi,10.04,"T-Series Super Cassettes Industries Ltd., Panorama Studios",16-03-2018,"Crime, Thriller",Rajkumar Gupta,128
Bhool Bhulaiyaa 2,2022,Hindi,14.11,"T-Series Super Cassettes Industries Ltd., Cine1 Studios Production",20-05-2022,"Horror, Comedy",Anees Bazmee,143
Mom,2017,Hindi,2.9,"Zee Studios, Mad Films, Third Eye Pictures, BSK Network & Entertainment Pvt. Ltd., Naresh Agarwal Films",07-07-2017,Thriller,Ravi Udyawar,147
Jacqueline I Am Coming,2019,Hindi,0.01,M.D. Production,18-10-2019,Drama,Banty Dubey,111
Bajrang Aur Ali,2024,Hindi,0.24,"Utterup Films, Phenomenal Crafts Ltd",07-06-2024,Drama,Jaiveer Sharma,122
Ishqeria,2018,Hindi,0.04,"Yen Movies Production, Swarp Films",21-09-2018,Romance,Prerna Wadhawan,118
Race 3,2018,Hindi,28.5,"Salman Khan Films, Tips Films",15-06-2018,"Action, Suspense",Remo DSouza,159
Dono,2023,Hindi,0.7,"Rajshri Productions Pvt Ltd, Jio Studios",05-10-2023,"Romance, Drama",Avnish S. Barjatya,156
Raazi,2018,Hindi,7.53,"Junglee Pictures, Dharma Productions",11-05-2018,"Patriotic, Thriller",Meghna Gulzar,138
Julie 2,2017,Hindi,1.4,Vijaya Films,24-11-2017,"Drama, Romance, Thriller",Sethumadhavan,137
Uunchai,2022,Hindi,1.81,"Rajshri Productions Pvt Ltd, Mahaveer Jain Films, Boundless Media",11-11-2022,"Family, Drama",Sooraj Barjatya,169
Afwaah,2023,Hindi,0.3,"T-Series Super Cassettes Industries Ltd., Benaras Media Works Production, Anubhav Sinha Productions Pvt Ltd",05-05-2023,Drama,Sudhir Mishra,126
Doctor G,2022,Hindi,3.87,Junglee Pictures,14-10-2022,"Drama, Comedy",Anubhuti Kashyap,124
G Kutta Se,2017,Hindi,0.03,SFE International,16-06-2017,"Drama, Horror, Social",Rahul Dahiya,103
Bunty Aur Babli 2,2021,Hindi,2.6,Yash Raj Films,19-11-2021,"Comedy, Crime",Varun V. Sharma,133
Bombairiya,2019,Hindi,0.02,"Beautiful Bay Entertainment, Kreo Films",18-01-2019,Drama,Pia Sukanya,108
Shivaay,2016,Hindi,10.24,"Ajay Devgn Films, Eros International",28-10-2016,"Drama, Action",Ajay Devgn,172
Kalank,2019,Hindi,21.6,"Nadiadwala Grandson Entertainment, Dharma Productions, Fox Star Studios",17-04-2019,"Drama, Period, Romance",Abhishek Varman,168
The Body,2019,Hindi,0.66,"Azure Entertainment, Viacom 18 Motion Pictures",13-12-2019,"Horror, Thriller",Jeethu Joseph,103
Befikre,2016,Hindi,10.36,Yash Raj Films,09-12-2016,"Comedy, Romance",Aditya Chopra,132
Toolsidas Junior,2022,Hindi,0.01,"T-Series Super Cassettes Industries Ltd., Ashutosh Gowariker Productions",04-03-2022,"Sports, Drama",Mridul,130
Student of the Year 2,2019,Hindi,12.06,"Dharma Productions, Fox Star Studios",10-05-2019,"Romance, Action, Drama",Punit Malhotra,145
Sanju,2018,Hindi,34.75,"Vidhu Vinod Chopra Productions, Rajkumar Hirani Films, Fox Star Studios",29-06-2018,"Biographical, Drama",Rajkumar Hirani,155
Sajini Shinde Ka Viral Video,2023,Hindi,0.06,Maddock Films,27-10-2023,"Suspense, Thriller",Mikhil Musale,116
83,2021,Hindi,12.64,"Nadiadwala Grandson Entertainment, Reliance Entertainment, Phantom Films, KA Productions, Kabir Khan Films, 83 Film Ltd, Vibri Media",24-12-2021,"Biographical, Sports",Kabir Khan,162
Kaagaz,2021,Hindi,0.005,"Salman Khan Films, The Satish Kaushik Entertainment",07-01-2021,"Social, Drama",Satish Kaushik,109
Maassab,2021,Hindi,0.04,Purushottam Studios,26-02-2021,"Social, Drama",Aditya Om,0
Kissebaaz,2019,Hindi,0.14,"PVR Pictures, Experion Moviez",14-06-2019,"Drama, Action, Crime",Annant Jaaitpaal,123
Kahan Shuru Kahan Khatam,2024,Hindi,0.93,"Bhanushali Studios, Kathputli Creations",20-09-2024,"Romance, Drama",Saurabh Dasgupta,106
Jolly LLB 3,2025,Hindi,12.5,Star Studio,19-09-2025,"Comedy, Drama",Subhash Kapoor,157
Ghayal: Once Again,2016,Hindi,7.2,"Sunny Sounds Pvt Ltd, Vijayta Films",05-02-2016,"Action, Drama",Sunny Deol,128
Sandeep Aur Pinky Faraar,2021,Hindi,0.06,Yash Raj Films,19-03-2021,"Drama, Crime",Dibakar Banerjee,125
Project Marathwada,2016,Hindi,0.03,"Eagle Eye Entertainment, Wadia Productions",03-06-2016,Drama,Bhavin Wadia,102
Sikandar,2025,Hindi,0.5,Minerva Movietone,28-03-2025,"Action, Drama",Sohrab Modi,133
Hukus Bukus,2023,Hindi,0.04,Shining Sun Studios,03-11-2023,"Social, Drama","Vinay Bhardwaj, Saumitra Singh",113
