Title,Year,Language,Genre,Production Company,Runtime (mins),Budget (INR),Director,Lead Cast,Release Date (India),MPAA Rating
Bawri Chhori,2021,Hindi,,,0,,,"Aahana Kumra, Niki Aneja Walia, Vikram Kochhar",19-02-2021,N/A
Waiting,2015,Hindi,Horror,PizzaCake,3,,,,,
Ship of Theseus,2013,Hindi,,,,,,,,
Kal Kissne Dekha,2009,Hindi,"Drama, Comedy, Romance",Pooja Entertainment,124,"20,56,188",Vivek Sharma,"Jacky Bhagnani, Vaishali Desai, Rishi Kapoor",,
Goodbye,2022,Hindi,Romance,,13,,Baker Ahmed,"Ahmed Ziyad, Othman Ahmed, Yhya Hamed",,
High Jack,2018,Hindi,Comedy,Phantom Films,0,,Akarsh Khurana,"Sumeet Vyas, Ross Bucharn, Nipun Dharmadhikari",20-04-2018,N/A
Golmaal Returns,2008,Hindi,Comedy,Shree Ashtavinayak Cine Vision,136,"35,07,00,000",Rohit Shetty,"Ajay Devgn, Arshad Warsi, Shreyas Talpade",29-10-2008,UA
Ishqedarriyaan,2015,Hindi,Romance,,132,,V. K. Prakash,"Mimoh Chakraborty, Evelyn Sharma, Kavin Dave",29-05-2015,U
Horn 'Ok' Pleassss,2009,Hindi,,,,,,,,
Tanu Weds Manu,2011,Hindi,"Comedy, Romance, Drama","Sanjay Singh Films, Viacom18 Studios, Soundarya production",119,"3,34,00,000",Aanand L. Rai,"R. Madhavan, Kangana Ranaut, Jimmy Shergill",25-02-2011,UA
Water,2007,Hindi,,,0,,,Roger Waters,,
Koyelaanchal,2014,Hindi,,,146,,Ashu Trikha,"Vinod Khanna, Roopali Krishnarao, Suniel Shetty",,
Great Grand Masti,2016,Hindi,"Comedy, Fantasy, Horror",Balaji Motion Pictures,127,,Indra Kumar,"Riteish Deshmukh, Vivek Oberoi, Aftab Shivdasani",15-07-2016,A
Son Of Sardaar,2012,Hindi,"Action, Comedy, Romance","Viacom18 Studios, Ajay Devgn FFilms",141,"35,90,50,000",Ashwni Dhir,"Ajay Devgn, Sonakshi Sinha, Sanjay Dutt",13-11-2012,UA
Jaane Tu... Ya Jaane Na,2008,Hindi,"Drama, Comedy, Romance","PVR Inox Pictures, Aamir Khan Productions",155,"19,20,50,000",Abbas Tyrewala,"Imran Khan, Genelia D'Souza, Manjari Fadnnis",04-07-2008,N/A
Bombay Rose,2021,Hindi,,,,,,,,
Wanted,2009,Hindi,"Action, Comedy, Crime, Thriller","Sahara One Motion Pictures, BSK Network and Entertainment",155,,Prabhu Deva,"Salman Khan, Vinod Khanna, Ayesha Takia",18-09-2009,A
Sardar Ka Grandson,2021,Hindi,"Comedy, Drama, Romance, Family","T-Series, Emmay Entertainment, JA Entertainment",140,,Kaashvie Nair,"Arjun Kapoor, Neena Gupta, Rakul Preet Singh",,
Gang of Ghosts,2014,Hindi,"Comedy, Horror",Venus Records & Tapes,128,,Satish Kaushik,"Sharman Joshi, Mahie Gill, Anupam Kher",21-03-2014,UA
Singh Saab The Great,2013,Hindi,"Action, Drama",,134,,Anil Sharma,"Sunny Deol, Amrita Rao, Prakash Raj",22-11-2013,N/A
Dream Girl,2019,Hindi,"Animation, Drama",Waadi Animations,15,,Sharmeen Obaid-Chinoy,,,
Murari the Mad Gentleman,2016,Hindi,,,,,,,,
Partner,2007,Hindi,"Comedy, Romance","Eros International, Sohail Khan Production",143,,David Dhawan,"Salman Khan, Govinda, Lara Dutta",20-07-2007,UA
Jalwa - Fun in Love[6],2005,Hindi,,,,,,,,
Tadap,2021,Hindi,"Action, Romance","Nadiadwala Grandson Entertainment, Fox Star Studios, Vertex Motion Pictures",126,,Milan Luthria,"Ahan Shetty, Tara Sutaria, Saurabh Shukla",03-12-2021,UA
The Lady Killer,2023,Hindi,"Thriller, Crime","SCIPL, Karma Media and Entertainment, Polaroid Media, Jussawala Productions LLP, Movies N More",125,"45,12,71,241",Ajay Bahl,"Bhumi Pednekar, Arjun Kapoor, Priyanka Bose",03-11-2023,A
Sadda Adda,2012,Hindi,,,0,,,"Karan Sharma, Shaurya Chauhan, Bhaumik Sampat",13-01-2012,N/A
RK/RKay,2022,Hindi,,,,,,,,
Dansh,2005,Hindi,"Action, Animation, Comedy",Toei Animation,91,,Mamoru Hosoda,"Mayumi Tanaka, Kazuya Nakai, Akemi Okamura",,
Jalsa,2022,Hindi,"Drama, Thriller","Abundantia Entertainment, T-Series",127,,Suresh Triveni,"Vidya Balan, Shefali Shah, Rohini Hattangadi",,
Gehraiyaan,2022,Hindi,"Romance, Drama","Dharma Productions, Viacom18 Studios, Jouska Films",148,,Shakun Batra,"Deepika Padukone, Siddhant Chaturvedi, Ananya Panday",,
Life is Beautiful!,2014,Hindi,,,0,,Manoj Amarnani,"Manoj Amarnani, Anokhi Dalvi, Raj Zutshi",22-08-2014,N/A
Tango Charlie,2005,Hindi,"Action, Adventure, Drama",,0,,Mani Shankar,"Ajay Devgn, Bobby Deol, Chitram Basha",25-03-2005,N/A
Tadap,2021,Hindi,"Action, Romance","Nadiadwala Grandson Entertainment, Fox Star Studios, Vertex Motion Pictures",126,,Milan Luthria,"Ahan Shetty, Tara Sutaria, Saurabh Shukla",03-12-2021,UA
Bird Idol,2010,Hindi,,,,,,,,
Badnaam Gali,2019,Hindi,"Drama, Comedy, Family",,95,,Ashwin Shetty,"Divyendu Sharma, Patralekhaa, Dolly Ahluwalia",,
Aalaap,2012,Hindi,Drama,,116,,Manish Manikpuri,"Amit Purohit, Abhimanyu Singh, Vijay Raaz",27-07-2012,N/A
Chingaari,2006,Hindi,"Drama, Romance",,160,,Kalpana Lajmi,"Sushmita Sen, Mithun Chakraborty, Ila Arun",,
Deshdrohi,2008,Hindi,"Action, Crime, Thriller",,139,,Jagdish A. Sharma,"Kamaal Rashid Khan, Gracy Singh, Hrishitaa Bhatt",14-11-2008,N/A
Jhootha Hi Sahi,2010,Hindi,"Drama, Romance",,142,,Abbas Tyrewala,"Paakhi A. Tyrewala, John Abraham, Manasi Scott",22-10-2010,N/A
Housefull,2010,Hindi,"Comedy, Romance",Nadiadwala Grandson Entertainment,135,"29,22,50,000",Sajid Khan,"Akshay Kumar, Arjun Rampal, Riteish Deshmukh",30-04-2010,UA
Utt Pataang,2011,Hindi,"Comedy, Romance",,96,,Srikanth V. Velagaleti,"Vinay Pathak, Mahie Gill, Saurabh Shukla",04-02-2011,N/A
Toilet: Ek Prem Katha,2017,Hindi,"Comedy, Drama, Romance","KriArj Entertainment, Grazing Goat Pictures, Friday Filmworks, Abundantia Entertainment, Plan C Studios",155,"30,89,50,000",Shree Narayan Singh,"Akshay Kumar, Bhumi Pednekar, Anupam Kher",11-08-2017,UA
Bansuri: The Flute,2021,Hindi,Drama,,108,,Hari Viswanath,"Anurag Kashyap, Rituparna Sengupta, Upendra Limaye",16-04-2021,N/A
Family of Thakurganj,2019,Hindi,"Drama, Action","Pen Studios, Lovely World Entertainment",127,,Manoj Jha,"Jimmy Shergill, Mahie Gill, Saurabh Shukla",19-07-2019,UA
Heroes,2008,Hindi,"Action, Adventure, Comedy",,140,"41,75,00,000",Samir Karnik,"Salman Khan, Preity Zinta, Sunny Deol",24-10-2008,N/A
Luv Ka The End,2011,Hindi,"Comedy, Drama",Y-Films,106,,Bumpy,"Shraddha Kapoor, Taha Shah Badussha, Errol Marks",06-05-2011,U
Jo Hum Chahein,2011,Hindi,Romance,,0,,Pawan Gill,"Sunny Gill, Simran Kaur Mundi, Alyy Khan",,
Apna Asmaan,2007,Hindi,"Drama, Science Fiction",,110,,Kaushik Roy,"Irrfan Khan, Shobana, Rajat Kapoor",07-09-2007,N/A
M Cream,2016,Hindi,"Adventure, Drama, Comedy",,114,,Agneya Singh,"Tom Alter, Raaghav Chanana, Ira Dubey",22-07-2016,N/A
Phata Poster Nikhla Hero,2013,Hindi,"Action, Comedy",Tips Industries,146,,Rajkumar Santoshi,"Shahid Kapoor, Ileana D'Cruz, Padmini Kolhapure",20-09-2013,U
Ki & Ka,2016,Hindi,"Drama, Romance, Action","Dhiraj Motion Pictures, Deepak Tijori Films, Focus Motion Pictures",128,,Deepak Tijori,"Kajal Aggarwal, Randeep Hooda, Anil George",10-06-2016,UA
Dharm,2007,Hindi,"Drama, History",WSG Pictures,105,,Bhavna Talwar,"Pankaj Kapur, Supriya Pathak, Hrishitaa Bhatt",08-06-2007,U
Nasha,2013,Hindi,"Drama, Romance, Thriller",Eagle Home Entertainment,120,,Amit Saxena,"Poonam Pandey, Shivam Patil, Ranbir Chakma",22-07-2013,A
Super K â The Movie,2011,Hindi,,,,,,,,
Victory,2009,Hindi,,"Walkwater Media, Victory Moving Pictures",150,,,"Harman Baweja, Amrita Rao, Anupam Kher",,
Bloody Daddy,2023,Hindi,"Action, Crime, Thriller","AAZ Films, Offside Entertainment, Jio Studios, The Vermillion World",122,,Ali Abbas Zafar,"Shahid Kapoor, Ronit Roy, Rajeev Khandelwal",,
Tu Jhoothi Main Makkaar,2023,Hindi,"Comedy, Romance, Family","T-Series, LUV Films, Yash Raj Films, Film Madrid, MFDC",159,,Luv Ranjan,"Ranbir Kapoor, Shraddha Kapoor, Anubhav Singh Bassi",08-03-2023,UA
Hisss,2010,Hindi,"Fantasy, Horror, Thriller","Split Image Pictures, Venus Records & Tapes",98,"83,50,00,000",Jennifer Lynch,"Mallika Sherawat, Irrfan Khan, Jeff Doucette",,
Tathastu,2006,Hindi,Drama,Karma Entertainment,113,,Anubhav Sinha,"Sanjay Dutt, Ameesha Patel, Jaya Prada",13-05-2006,N/A
Trapped,2017,Hindi,"Thriller, Drama","Reliance Entertainment, Phantom Films",105,,Vikramaditya Motwane,"Rajkummar Rao, Geetanjali Thapa, Khushboo Upadhyay",17-03-2017,N/A
Shaadi No. 1,2005,Hindi,Comedy,,129,,David Dhawan,"Fardeen Khan, Zayed Khan, Sharman Joshi",22-08-2005,N/A
Life in a... Metro,2007,Hindi,"Drama, Romance",UTV Motion Pictures,132,"9,18,50,000",Anurag Basu,"Kay Kay Menon, Shilpa Shetty Kundra, Konkona Sen Sharma",11-05-2007,A
Ajji,2017,Hindi,"Thriller, Crime",Yoodlee Films,104,,Devashish Makhija,"Sushama Deshpande, Sharvani Suryavanshi, Smita Tambe",24-11-2017,UA
Tees Maar Khan,2010,Hindi,"Comedy, Crime","UTV Motion Pictures, Hari Om Entertainment",137,,Farah Khan,"Akshay Kumar, Katrina Kaif, Akshaye Khanna",24-12-2010,UA
72 Hoorain,2023,Hindi,"Documentary, Crime, Horror",,120,,Sanjay Puran Singh Chauhan,"Aamir Bashir, Rasheed Naz, Ashok Pathak",07-07-2023,N/A
Golmaal 3,2010,Hindi,"Comedy, Family","Eros International, Shree Ashtavinayak Cinevision Ltd",140,"40,08,00,000",Rohit Shetty,"Ajay Devgn, Arshad Warsi, Shreyas Talpade",05-11-2010,UA
Haseen Dillruba,2021,Hindi,"Mystery, Thriller, Crime, Romance","Colour Yellow Productions, Eros International, T-Series",136,,Vinil Mathew,"Taapsee Pannu, Vikrant Massey, Harshvardhan Rane",,
Benny and Babloo,2010,Hindi,"Drama, Comedy",,150,,Yunus Sajawal,"Kay Kay Menon, Rajpal Yadav, Riya Sen",01-10-2010,N/A
Billu Barber,2009,Hindi,"Comedy, Drama","Red Chillies Entertainment, Eros International",137,"48,01,25,000",Priyadarshan,"Irrfan Khan, Shah Rukh Khan, Lara Dutta",13-02-2009,U
Nishabd,2007,Hindi,"Romance, Drama",RGV Film Factory,109,,Ram Gopal Varma,"Amitabh Bachchan, Jiah Khan, Shraddha Arya",02-03-2007,A
Running Shaadi,2017,Hindi,"Comedy, Romance","Crouching Tiger Motion Pictures, Rising Sun Films",114,,Amit Roy,"Amit Sadh, Taapsee Pannu, Raaj Vishwakarma",16-02-2017,UA
Rolling Dream,2015,Hindi,,,,,,,,
Rakta Charitra 2,2010,Hindi,"Action, Crime, Drama","Cinergy Pictures, Cloud Nine Movies",123,"3,25,65,000",Ram Gopal Varma,"Vivek Oberoi, Shatrughan Sinha, Abhimanyu Singh",21-10-2010,A
Marjaavaan,2019,Hindi,"Romance, Action","T-Series, Emmay Entertainment",133,,Milap Zaveri,"Riteish Deshmukh, Sidharth Malhotra, Tara Sutaria",15-11-2019,UA
I Am Kalam,2011,Hindi,,,,,,,,
Beyond the Clouds,2018,Hindi,"Family, Drama","Namah Pictures, Eye Candy Films, Zee Studios",120,,Majid Majidi,"Ishaan Khatter, Malavika Mohanan, Goutam Ghose",20-04-2018,UA
Barfi!,2012,Hindi,"Drama, Romance, Comedy","Ishana Movies, UTV Motion Pictures",151,"37,05,31,918",Anurag Basu,"Ranbir Kapoor, Priyanka Chopra Jonas, Ileana D'Cruz",14-09-2012,U
Love Ke Funday,2016,Hindi,Comedy,,132,,Indervesh Yogee,"Pooja Banerjee, Shaleen Bhanot, Samiksha Bhatnagar",22-07-2016,N/A
Don Muthu Swami,2008,Hindi,"Comedy, Drama",,112,,Ashim S. Samanta,"Mithun Chakraborty, Ali Asgar, Hrishitaa Bhatt",22-05-2008,N/A
Total Siyapaa,2014,Hindi,"Romance, Comedy",,108,,Eeshwar Nivas,"Ali Zafar, Yami Gautam, Anupam Kher",07-03-2014,U
Margarita with a Straw,2015,Hindi,Drama,Viacom18 Studios,100,"7,51,50,000",Shonali Bose,"Kalki Koechlin, Revathi, Sayani Gupta",17-04-2015,A
Gandhi to Hitler,2011,Hindi,,,108,,Rakesh Ranjan Kumar,"Neha Dhupia, Aman Verma, Avijit Dutt",29-07-2011,N/A
Pyaar Ka Punchnama 2,2015,Hindi,"Romance, Comedy, Drama",Zee Music Company,136,,Luv Ranjan,"Kartik Aaryan, Omkar Kapoor, Sunny Singh",16-10-2015,N/A
Sam Bahadur,2023,Hindi,"Drama, History, War",RSVP Movies,149,"57,61,50,000",Meghna Gulzar,"Vicky Kaushal, Sanya Malhotra, Fatima Sana Shaikh",01-12-2023,UA
Zed Plus,2014,Hindi,"Drama, Comedy",,131,,Dr. Chandraprakash Dwivedi,"Adil Hussain, Mona Singh, Kulbhushan Kharbanda",28-11-2014,N/A
Blood Money,2012,Hindi,"Drama, Action, Thriller","Vishesh Films, Viacom18 Studios",110,,Vishal Mahadkar,"Kunal Khemu, Amrita Puri, Manish Choudhary",31-03-2012,UA
Ankahi Kahaniya,2021,Hindi,"Drama, Romance","RSVP Movies, Flying Unicorn Entertainment",110,,Abhishek Chaubey,"Kunal Kapoor, Zoya Hussain, Abhishek Banerjee",,
My Wife's Murder,2005,Hindi,"Thriller, Mystery","K Sera Sera Limited, RGV Film Factory, Anil Kapoor Film & Communication Network",103,,Jijy Philip,"Anil Kapoor, Suchitra Krishnamoorthi, Nandana Sen",19-08-2005,UA
A Flying Jatt,2016,Hindi,"Fantasy, Action, Adventure",Balaji Motion Pictures,151,,Remo D'Souza,"Tiger Shroff, Jacqueline Fernandez, Nathan Jones",25-08-2016,N/A
Firaaq,2009,Hindi,Drama,Percept Picture Company,101,,Nandita Das,"Naseeruddin Shah, Paresh Rawal, Inaamulhaq",20-03-2009,U/A 16+
Rebellious Flower,2016,Hindi,,,109,,Krishan Hooda,"Shashank Singh, Shaneel Sinha",15-01-2016,N/A
Dhara 302,2016,Hindi,Drama,,148,,Jitendra Singh Naruka,"Rufy Khan, Dipti Dhotre, Gulshan Pandey",19-02-2016,N/A
Chargesheet,2011,Hindi,"Drama, Mystery, Thriller",Navketan,0,,Dev Anand,"Dev Anand, Naseeruddin Shah, Jackie Shroff",30-09-2011,N/A
Mere Khwabon Mein Jo Aaye,2009,Hindi,"Drama, Horror, Romance",,121,,Madhureeta Anand,"Randeep Hooda, Raima Sen, Arbaaz Khan",06-02-2009,N/A
Kaafila,2007,Hindi,Drama,,0,,,"Sunny Deol, Sudesh Berry",10-08-2007,N/A
Sweetiee Weds NRI,2017,Hindi,"Comedy, Drama, Romance","Grand Motion Pictures, Asmiya Production",117,,Hasnain Hyderabadwala,"Himansh Kohli, Zoya Afroz, Darshan Jariwala",02-06-2017,N/A
Trial Period,2023,Hindi,"Comedy, Drama","Chrome Pictures, Jio Studios",125,,Aleya Sen,"Genelia D'Souza, Manav Kaul, Zidane Braz",,
Eight: The Power of Shani[2],2006,Hindi,,,,,,,,
Dangerous Ishq,2012,Hindi,,,,,,,,
"Monica, O My Darling",2022,Hindi,"Crime, Comedy, Drama, Mystery",Matchbox Shots,129,,Vasan Bala,"Rajkummar Rao, Huma Qureshi, Radhika Apte",,
Talvar,2015,Hindi,"Thriller, Drama, Mystery","Vishal Bhardwaj Pictures, Jar Pictures, Junglee Pictures",132,,Meghna Gulzar,"Irrfan Khan, Konkona Sen Sharma, Neeraj Kabi",02-10-2015,UA
Krrish 3,2013,Hindi,"Action, Science Fiction",Film Kraft,152,"1,67,00,00,000",Rakesh Roshan,"Hrithik Roshan, Priyanka Chopra Jonas, Vivek Oberoi",01-11-2013,U
Khuda Haafiz: Chapter 2 â Agni Pariksha,2022,Hindi,,,,,,,,
Omerta,2018,Hindi,"Action, Drama","Karma Features, Swiss Entertainment",96,,Hansal Mehta,"Rajkummar Rao, Rajesh Tailang, Rupinder Nagra",20-04-2018,A
Pinky Beauty Parlour,2023,Hindi,"Crime, Drama",Akshikha Entertainment,116,,Akshay Singh,,14-04-2023,N/A
Mere Jeevan Saathi,2006,Hindi,"Action, Drama, Romance",,0,,Suneel Darshan,"Akshay Kumar, Karisma Kapoor, Ameesha Patel",03-02-2006,U
Ishqiya,2010,Hindi,"Thriller, Comedy","Vishal Bhardwaj Pictures, Shemaroo Entertainment",115,,Abhishek Chaubey,"Naseeruddin Shah, Vidya Balan, Arshad Warsi",29-01-2010,A
Unns...Means Love,2006,Hindi,,,,,,,,
Don 2,2011,Hindi,"Action, Thriller","Excel Entertainment, Red Chillies Entertainment, Landmark Productions, Pixion Studio",139,"91,85,00,000",Farhan Akhtar,"Shah Rukh Khan, Priyanka Chopra Jonas, Boman Irani",23-12-2011,UA
Wedding Anniversary,2017,Hindi,Drama,,108,,Shekhar S. Jha,"Nana Patekar, Mahie Gill, Priyanshu Chatterjee",24-02-2017,U
Sankat City,2009,Hindi,Comedy,"MoserBaer Entertainment Ltd., 7 Entertainment Ltd.",110,,Pankaj Advani,"Kay Kay Menon, Anupam Kher, Rimi Sen",10-07-2009,N/A
Nawabzaade,2018,Hindi,"Comedy, Romance",White Measure Entertainment,112,,Jayesh Pradhan,"Dharmesh Yelande, Punit Pathak, Raghav Juyal",27-07-2018,UA
Shaandaar,2015,Hindi,"Comedy, Romance","Fox Star Studios, Dharma Productions, Phantom Films",144,,Vikas Bahl,"Shahid Kapoor, Alia Bhatt, Pankaj Kapur",22-10-2015,UA
Kuttey,2023,Hindi,"Comedy, Crime, Thriller","Vishal Bhardwaj Films, LUV Films, T-Series",112,,Aasmaan Bhardwaj,"Arjun Kapoor, Tabu, Kumud Mishra",13-01-2023,A
Lust Stories 2,2023,Hindi,"Drama, Romance","RSVP Movies, Flying Unicorn Entertainment",132,,Konkona Sen Sharma,"Neena Gupta, Mrunal Thakur, Tamannaah Bhatia",,
Mubarakan,2017,Hindi,"Comedy, Drama","Cine1 Studios, Mark Production, Sony Pictures Networks Productions",156,,Anees Bazmee,"Anil Kapoor, Arjun Kapoor, Ileana D'Cruz",28-07-2017,N/A
Chauhar,2017,Hindi,,,0,,,,10-02-2017,N/A
A Decent Arrangement,2014,Hindi,,,96,,Saravar Banka,"Adam Laupus, Shabana Azmi, Diksha Basu",11-07-2014,N/A
Love In Ukraine,2022,Hindi,"Romance, Action, Thriller","Neole Films, Kamal Entertainment",90,"8,14,12,500",Nitin Kumar Gupta,"Vipin Kaushik, Lizabeta Fainman, Irma Balan",27-05-2022,N/A
Mantostaan,2017,Hindi,,,92,,Rahat Kazmi,"Sonal Sehgal, Raghubir Yadav, Veerendra Saxena",05-05-2017,N/A
Sergeant,2023,Hindi,"Drama, Thriller","The Sin Films Limited, Jar Pictures",104,,Prawaal Raman,"Randeep Hooda, Arun Govil, Sapna Pabbi",,
Gully Boy,2019,Hindi,"Drama, Music","Excel Entertainment, Tiger Baby",156,"48,28,68,226",Zoya Akhtar,"Ranveer Singh, Alia Bhatt, Siddhant Chaturvedi",14-02-2019,UA
From Sydney with Love,2012,Hindi,"Comedy, Romance",,0,,Prateek Chakravorty,"Sharad Malhotra, Bidita Bag, Prateek Chakravorty",31-08-2012,N/A
Love Ke Chakkar Mein,2006,Hindi,,,0,,,,06-06-2006,N/A
Bhediya,2022,Hindi,"Horror, Comedy","Maddock Films, Jio Studios",156,"59,28,50,000",Amar Kaushik,"Varun Dhawan, Kriti Sanon, Abhishek Banerjee",25-11-2022,UA
Dabangg 3,2019,Hindi,"Action, Comedy, Crime","Arbaaz Khan Productions, Salman Khan Films",150,,Prabhu Deva,"Salman Khan, Sonakshi Sinha, Saiee Manjrekar",20-12-2019,UA
Jumbo,2008,Hindi,,"Eagle Home Entertainment, Kantana Motion Pictures, Percept Picture Company, Sahamongkolfilm",0,,Kompin Kemgumnird,"Akshay Kumar, Lara Dutta, Rajpal Yadav",,
Love per Square Foot,2018,Hindi,"Comedy, Romance","RSVP Movies, Leo Media Collective",133,,Anand Tiwari,"Vicky Kaushal, Angira Dhar, Supriya Pathak",,
My Brother... Nikhil,2005,Hindi,Drama,,120,,Onir,"Juhi Chawla Mehta, Sanjay Suri, Victor Banerjee",25-03-2005,N/A
Anthony Kaun Hai?,2006,Hindi,"Comedy, Thriller",Adlabs Films Ltd.,127,,Raj Kaushal,"Sanjay Dutt, Arshad Warsi, Minissha Lamba",03-08-2006,PG
Race,2008,Hindi,"Drama, Action, Thriller, Crime","UTV Motion Pictures, Tips Industries, Films & Casting TEMPLE",161,,Abbas Alibhai Burmawalla,"Saif Ali Khan, Akshaye Khanna, Bipasha Basu",21-03-2008,N/A
Made in China,2019,Hindi,"Comedy, Drama","Montauk Films, Riplay Films, Mars Films",87,,Julien Abraham,"Frédéric Chau, Medi Sadoun, Julie de Bona",,
Hind Ka Napak Ko Jawab: MSG Lion Heart 2,2017,Hindi,"Action, Comedy",,127,,Gurmeet Ram Rahim Singh,"Gurmeet Ram Rahim Singh, Honeypreet Insan",10-02-2017,N/A
Hindi Medium,2017,Hindi,"Comedy, Drama",Maddock Films,132,"26,83,51,465",Saket Chaudhary,"Irrfan Khan, Saba Qamar, Sanjana Sanghi",19-05-2017,U
Main Krishna Hoon,2013,Hindi,"Animation, Family","Eros International, JC Film Visions",135,,Rajiv S. Ruia,"Paresh Ganatra, Juhi Chawla Mehta, Namit Shah",25-01-2013,U
Naam Shabana,2017,Hindi,Thriller,"Plan C Studios, Cape Of Good Films, Friday Filmworks, KriArj Entertainment",147,,Shivam Nair,"Taapsee Pannu, Prithviraj Sukumaran, Manoj Bajpayee",31-03-2017,UA
Jayeshbhai Jordaar,2022,Hindi,"Comedy, Drama",Yash Raj Films,124,,Divyang Thakkar,"Ranveer Singh, Shalini Pandey, Boman Irani",13-05-2022,UA
Naam Gum Jaayega,2005,Hindi,"Mystery, Thriller",Sri Mahalsa Siddhi Creations,125,,Amol Shetge,"Raqesh Bapat, Dia Mirza, Aryan Vaid",10-04-2005,N/A
Diwangi Ne Had Kar Di,2010,Hindi,,,,,,,,
International Hero,2015,Hindi,,,0,,Sanjay Niranjan,"Shagufta Ali, Kader Khan, Puneet Issar",20-03-2015,N/A
Taj Mahal: An Eternal Love Story,2005,Hindi,"Drama, History",,0,,Akbar Khan,"Kabir Bedi, Zulfi Syed, Sonya Jehan",18-11-2005,N/A
That Girl in Yellow Boots,2011,Hindi,"Crime, Drama, Mystery, Thriller","Anurag Kashyap Films, Sikhya Entertainment, National Film Development Corporation of India, Viacom18 Studios",103,,Anurag Kashyap,"Kalki Koechlin, Naseeruddin Shah, Gulshan Devaiah",02-09-2011,UA
Happy Phirr Bhag Jayegi,2018,Hindi,"Drama, Romance, Comedy","Colour Yellow Productions, Eros International",136,,Mudassar Aziz,"Sonakshi Sinha, Jimmy Shergill, Jassie Gill",,
Room â The Mystery,2014,Hindi,,,,,,,,
Chain Kulii Ki Main Kulii,2007,Hindi,"Comedy, Drama, Family, Fantasy","Saregama Films, Saregama HMV",118,,Karanjeet Saluja,"Zain Khan, Rahul Bose, Bobby Bedii",22-06-2007,U
Life Mein Twist Hai,2014,Hindi,,,,,,,,
Teraa Surroor,2016,Hindi,"Romance, Action, Drama",,146,,Shawn Arranha,"Himesh Reshammiya, Farah Karimi, Monica Dogra",11-03-2016,UA
Chandigarh Kare Aashiqui,2021,Hindi,"Drama, Romance, Crime","T-Series, Guy in the Sky Pictures",117,,Abhishek Kapoor,"Ayushmann Khurrana, Vaani Kapoor, Kanwaljit Singh",10-12-2021,UA
Bhagwan Bharose,2023,Hindi,"Drama, Comedy, Family",Platoon One Films,97,"3,75,75,000",Shiladitya Bora,"Satendra Soni, Sparsh Suman, Vinay Pathak",13-10-2023,UA
Dil Dosti Etc,2007,Hindi,Drama,,106,,Manish Tiwary,"Shreyas Talpade, Ishita Sharma, Imaad Shah",,
Hello Zindagi,2010,Hindi,,,0,,,Kitu Gidwani,05-03-2010,N/A
Mirzya,2016,Hindi,"Romance, Drama, Fantasy","Rakeysh Omprakash Mehra Films, Cinestaan Film Company",129,"56,36,25,000",Rakeysh Omprakash Mehra,"Harshvardhan Kapoor, Saiyami Kher, Art Malik",07-10-2016,UA
James,2005,Hindi,"Action, Comedy",,74,,,"Akom Preedakul, Peter Louis, Mo Cane Jutharat",,
Tiger 3,2023,Hindi,"Action, Adventure, Thriller","Yash Raj Films, First Step Productions, Etalon-Film, FPS Productions, SK-Film",155,"3,03,27,20,000",Maneesh Sharma,"Salman Khan, Katrina Kaif, Emraan Hashmi",12-11-2023,U/A 13+
Saala Khadoos,2016,Hindi,Drama,"Rajkumar Hirani Films, UTV Motion Pictures, Y NOT Studios, Thirukumaran Entertainment",109,"2,50,50,000",Sudha Kongara Prasad,"R. Madhavan, Ritika Singh, Mumtaz Sorcar",29-01-2016,U
October,2018,Hindi,"Drama, Romance","Kino Works, Rising Sun Films",109,,Shoojit Sircar,"Varun Dhawan, Banita Sandhu, Gitanjali Rao",13-04-2018,U
Tubelight,2017,Hindi,"Drama, War","Salman Khan Films, Kabir Khan Films",136,,Kabir Khan,"Salman Khan, Sohail Khan, Om Puri",22-06-2017,U
Red: The Dark Side,2007,Hindi,"Drama, Romance, Thriller",,148,,Vikram Bhatt,"Celina Jaitly, Aftab Shivdasani, Amrita Arora",09-03-2007,U/A
Jodi Breakers,2012,Hindi,"Comedy, Romance",,0,"4,77,62,000",Ashwini Chaudhary,"R. Madhavan, Bipasha Basu, Omi Vaidya",02-03-2012,N/A
Rabia & Olivia,2023,Hindi,"Drama, Family",,86,,Shadab Khan,"Sheeba Chaddha, Nayab Khan",24-02-2023,N/A
Malaal,2019,Hindi,"Romance, Drama",Bhansali Productions,136,,Mangesh Hadawale,"Meezaan Jafri, Sharmin Segal, Sameer Dharmadhikari",05-07-2019,UA
Satyagraha,2013,Hindi,Drama,"Prakash Jha Productions, UTV Motion Pictures",152,,Prakash Jha,"Amitabh Bachchan, Ajay Devgn, Kareena Kapoor Khan",30-08-2013,UA
Sheesha,2005,Hindi,"Drama, Romance, Thriller",,140,,Ashu Trikha,"Neha Dhupia, Elidh MacQueen, Niju Mavani",11-02-2005,N/A
IB71,2023,Hindi,"Action, Thriller, War","Reliance Entertainment, T-Series, Action Hero Films",117,,Sankalp Reddy,"Vidyut Jammwal, Dalip Tahil, Anupam Kher",12-05-2023,UA
Dhoom 3,2013,Hindi,"Action, Crime","Yash Raj Films, Dhoom Studios, Prime Focus",171,"1,62,82,50,000",Vijay Krishna Acharya,"Aamir Khan, Abhishek Bachchan, Katrina Kaif",20-12-2013,UA
